,created_at,full_text,cleaned_text,retweeted_count,favorite_count,user
0,Sat Apr 11 11:42:00 +0000 2020,"Ceci n'est pas un corps : Hyperrealism Sculpture (La Boverie, Liège) https://t.co/tVGROrSKKT https://t.co/0Qvg3JZMOq","Ceci n'est pas un corps Hyperrealism Sculpture (La Boverie, Liege)",0,3,gilderic
1,Sat Apr 11 11:18:03 +0000 2020,Un sdf violemment tabassé à la gare des Guillemins à Liège https://t.co/xnkSkz3ind https://t.co/e2fxNxbJ5O,Un sdf violemment tabasse a la gare des Guillemins a Liege,0,0,lameuseliege
2,Sat Apr 11 11:17:07 +0000 2020,"@captainredw0lf @Niala_V Yop.

Plantes et jardinage : Mr Bricolage Liege Grétry 

Pépiniériste et horticulture je recommande toujours Laurent DASSE à Blégny !",captainredw0lf Niala V Yop Plantes et jardinage Mr Bricolage Liege Gretry Pepinieriste et horticulture je recommande toujours Laurent DASSE a Blegny,0,4,QuentinleBussy
3,Sat Apr 11 11:02:31 +0000 2020,Bonjour Twitter. Une idée de jardinerie/étangs/matériel qui vend des cartes cadeau en ligne ? J'ai essayé chez Plan-it (vendent qu'en magasin) et o'green (vendent en ligne mais...ont fermé même cela dans la foulée). Environs de Liège. Ce sera à utiliser plus tard.,Bonjour Twitter Une idee de jardinerie/etangs/materiel qui vend des cartes cadeau en ligne J'ai essaye chez Plan-it (vendent qu'en magasin) et o'green (vendent en ligne maisont ferme meme cela dans la foulee) Environs de Liege Ce sera a utiliser plus tard,0,1,Niala_V
4,Sat Apr 11 11:00:41 +0000 2020,Émission sur #Liège en mode #confinement: 10 minutes de balade dehors puis 1h20 à la maison #LMF5 https://t.co/lGpDYMfITI,Emission sur Liege en mode confinement 10 minutes de balade dehors puis 1h20 a la maison LMF5,4,8,LiveFromLiege
5,Sat Apr 11 11:00:10 +0000 2020,"@Cyr_ @JMarc_Hans @PP_Pepitos @vdwnico Tout à fait. J'ai donc un doute sur un relâchement officiel. Je pense qu'il est déjà en cours et qu'on laisse l'activité économique reprendre. On le constate à #liege au trafic, camionnettes, bruits de travaux.","Cyr JMarc Hans PP Pepitos vdwnico Tout a fait J'ai donc un doute sur un relachement officiel Je pense qu'il est deja en cours et qu'on laisse l'activite economique reprendre On le constate a liege au trafic, camionnettes, bruits de travaux",0,0,Niala_V
6,Sat Apr 11 10:26:08 +0000 2020,Ça a bougé à Bruxelles et à Liège de ce côté @BenoitHellings @CarolineSaal ?? https://t.co/bHUxtaabIo,Ca a bouge a Bruxelles et a Liege de ce cote BenoitHellings CarolineSaal,0,0,cecile_pt
7,Sat Apr 11 10:25:08 +0000 2020,"Learning lidjwès with Victor: une cane, des canetons, une canette

(rare extrait de la vie dehors pendant le #confinement #Liège #covid19be) https://t.co/75gUHBur2N","Learning lidjwes with Victor une cane, des canetons, une canette (rare extrait de la vie dehors pendant le confinement Liege covid19be)",3,21,LiveFromLiege
8,Sat Apr 11 09:54:03 +0000 2020,La recette de la cheffe: gaufres de Liège façon Valériane https://t.co/oHnXWSj3Vp https://t.co/rTRb8TTk3S,La recette de la cheffe gaufres de Liege facon Valeriane,0,0,lameuseliege
9,Sat Apr 11 09:22:05 +0000 2020,"VOO liège Basket est heureux d'annoncer la venue de Kevin Stilmant de Spirou Charleroi ! Poste 5, né en 2000 et mesure 2m08 ! Il est aussi passé par Royal Gallia BC Beez, NBC Alsavin Belgrade et le CF AWBB. Il évoluera en D1 et dans notre seconde équipe. Bienvenu Kevin ! https://t.co/6uaPeI9bQC","VOO liege Basket est heureux d'annoncer la venue de Kevin Stilmant de Spirou Charleroi Poste 5, ne en 2000 et mesure 2m08 Il est aussi passe par Royal Gallia BC Beez, NBC Alsavin Belgrade et le CF AWBB Il evoluera en D1 et dans notre seconde equipe Bienvenu Kevin",6,13,LiegeBasket
10,Sat Apr 11 08:45:30 +0000 2020,Quelques chiffres pour illustrer l'implication des équipes soignantes et du personnel du CHR de la Citadelle face à la crise sanitaire Covid-19. Merci à toutes et tous. #Coronavirus #COVID19 #Liège @CHRCitadelle https://t.co/G8Ufm0hIkM,Quelques chiffres pour illustrer l'implication des equipes soignantes et du personnel du CHR de la Citadelle face a la crise sanitaire Covid-19 Merci a toutes et tous Coronavirus COVID19 Liege CHRCitadelle,0,2,Coeur_Epic
11,Sat Apr 11 07:48:24 +0000 2020,"Le 11 avril 1947 Fernandel au Palace de Liége centre du monde!
Belle journée à tous! Prenez soin de vous ❤️
@LIEGETOGETHER https://t.co/Ewb0We6SmV",Le 11 avril 1947 Fernandel au Palace de Liege centre du monde Belle journee a tous Prenez soin de vous [] LIEGETOGETHER,0,0,CedricMarchandi
12,Fri Apr 10 21:03:22 +0000 2020,"Un article surtout à lire.

Mais pour comprendre vraiment Liège, il faut y vivre.

Damien https://t.co/A0z6YLGWuX","Un article surtout a lire Mais pour comprendre vraiment Liege, il faut y vivre Damien",0,4,DamienERNST1
13,Fri Apr 10 19:50:12 +0000 2020,Quand j’ai fais Liege Paris toute seule j’étais grv détendue jpourrais le refaire trql https://t.co/o53jmUZW39,Quand j'ai fais Liege Paris toute seule j'etais grv detendue jpourrais le refaire trql,1,3,merveyeuse_
14,Fri Apr 10 19:37:22 +0000 2020,"L'Université de Liège va étudier l'impact du confinement sur le sommeil, les souvenirs et la mémoire.
https://t.co/xL6avxEf4t","L'Universite de Liege va etudier l'impact du confinement sur le sommeil, les souvenirs et la memoire",0,1,MacSim305
15,Fri Apr 10 18:50:03 +0000 2020,Neuf lignes de bus ne déchargeront plus dans le centre de Liège https://t.co/PTSLYZcRG9 https://t.co/WkWgVi9pWj,Neuf lignes de bus ne dechargeront plus dans le centre de Liege,0,1,lameuseliege
16,Fri Apr 10 18:39:20 +0000 2020,Confinement et violences : Liège sollicite l'aide des pharmacies et des librairies ! https://t.co/A5O1TI50P7,Confinement et violences Liege sollicite l'aide des pharmacies et des librairies,0,0,moncoeur1971
17,Fri Apr 10 17:36:02 +0000 2020,"✨Et toi, quelle heure est-il sur ton bijoux ? ✨⌚️
( by stephanegerald2 &amp; justintouvor )
#ekstoreonline à Liège, Belgium https://t.co/GvxJb54NGu","Et toi, quelle heure est-il sur ton bijoux [][] ( by stephanegerald2 &amp; justintouvor ) ekstoreonline a Liege, Belgium",0,0,ekstoreonlinee
18,Fri Apr 10 16:59:59 +0000 2020,"« Copilot and the City »

#girlatwork❤ #daughterempowerment
#TitiAllStars #SunGlasses à Liège, Belgium https://t.co/2UW3REYw8D","<< Copilot and the City >> girlatwork daughterempowerment TitiAllStars SunGlasses a Liege, Belgium",0,0,QuentinleBussy
19,Fri Apr 10 16:26:41 +0000 2020,"""mais il faut être domiciliée à Liège pour avoir un mandat révocable""
""mais le propriétaire veut le bandanr pour pouvoir signer le bail"" 🔄","""mais il faut etre domiciliee a Liege pour avoir un mandat revocable"" ""mais le proprietaire veut le bandanr pour pouvoir signer le bail""",0,0,manson_sacha
20,Fri Apr 10 15:45:22 +0000 2020,"Les deux premiers versements aux hôpitaux du CHR de la Citadelle et du CHU de #Liège sont en cours...

Encore une fois #Merci ♥️💙

#OnBougeDepuisChezSoi #Liège #COVID19 https://t.co/Sc8DIdW97L https://t.co/hyEvXA7VwZ",Les deux premiers versements aux hopitaux du CHR de la Citadelle et du CHU de Liege sont en cours Encore une fois Merci [] OnBougeDepuisChezSoi Liege COVID19,4,6,JOHAN_1892
21,Fri Apr 10 15:42:59 +0000 2020,"Liège, saint Martin et le boulevard de la Sauvenière #Liège #blackandwhitephotography #NightPhotography #Belgium

Photos -&gt; https://t.co/Sh6ktfRqDi https://t.co/JbSY4I6Q1X","Liege, saint Martin et le boulevard de la Sauveniere Liege blackandwhitephotography NightPhotography Belgium Photos -&gt;",1,7,LechanteurT
22,Fri Apr 10 15:26:03 +0000 2020,La Province de Liège s’engage à soutenir le secteur Culturel https://t.co/X2A2SIwpHg https://t.co/xlAkAQiT5L,La Province de Liege s'engage a soutenir le secteur Culturel,0,3,lameuseliege
23,Fri Apr 10 14:46:50 +0000 2020,@catherinefonck @DamienERNST1 Et quid de l'arrêté royal qui interdit les tests de dépistage rapide pour 6 mois alors que #Zentech à Liège peut en produire des centaines de milliers et que les essais de ces tests rapides au CHU sont concluants? #cohérence #veutonvraimentlafinduconfinement,catherinefonck DamienERNST1 Et quid de l'arrete royal qui interdit les tests de depistage rapide pour 6 mois alors que Zentech a Liege peut en produire des centaines de milliers et que les essais de ces tests rapides au CHU sont concluants coherence veutonvraimentlafinduconfinement,0,3,nclotuche
24,Fri Apr 10 14:34:49 +0000 2020,"@sltcestcoco Faux 🙂 ! En fait Liege est connu pour Sa vieille ville recèle de nombreux sites d'intérêt datant de l'époque médiévale, comme la collégiale romane de Saint-Barthélemy. Le musée Grand Curtius abrite des trésors archéologiques et des œuvres d'art au sein d'une demeure du XVIIe s.","sltcestcoco Faux En fait Liege est connu pour Sa vieille ville recele de nombreux sites d'interet datant de l'epoque medievale, comme la collegiale romane de Saint-Barthelemy Le musee Grand Curtius abrite des tresors archeologiques et des oeuvres d'art au sein d'une demeure du XVIIe s",0,1,EESSEFAL
