Catégorie;Projet;Vote positif;Vote négatif;Description
Ville participative, Collaborative et Numérique;004 - Promouvoir la monnaie locale;100;35;"PROMOUVOIR LA MONNAIE LOCALE : LE VALEUREUX 

Les Valeureux sont dépensés chez tous les prestataires partenaires. Lors d’un paiement en Valeureux, la monnaie est rendue préférentiellement en Valeureux. Les prestataires partenaires sont les personnes, les entreprises ou les associations qui vendent un bien ou un service et qui acceptent le Valeureux comme moyen de paiement. Ils ont signé la charte du Valeureux et adhèrent donc à ses principes.
La Ville de Liège soutient cette monnaie locale qui permet notamment de privilégier les commerces liégeois dans le domaine de l’éco-responsabilité et de produits locaux."
La mobilité;007 - Développer des garages à vélos collectifs en zone urbaine;160;7;"DÉVELOPPER DES GARAGES A VÉLOS COLLECTIFS EN ZONE URBAINE

Cette action présente deux objectifs : le premier de sécuriser les vélos en zone urbaine, le deuxième, de permettre aux citoyens d’entreposer facilement leurs vélos dans des lieux spécialement prévus à cet effet."
La végétalisation et l'agriculture urbaine;034 - Créer des marchés circuits-courts dans les quartiers;166;3;"Des marchés en circuits courts dans les quartiers

L'expérience du marché circuits courts au centre ville est une super initiative, la prolonger dans les quartiers périphériques serai une bonne chose en s'appuyant notamment sur les associations ou institutions qui y sont déjà implantées."
La mobilité;039 - Mettre des vélos à disposition en libre-service;204;7;Dans l'idée d'une ville  plus verte et sur la base que la ville de liege est fréquentée par de nombreux étudiants et que les transports en commun ne sont pas accessibles toute la journée - des vélos à disposition pour aller d un endroit à un autre comme il existe dans presque toutes les grandes villes (Bruxelles, Paris, Shanghai...) pourrait être une bonne solution afin de faciliter la circulation en ville. Je mets en avant les étudiants mais ce service pourrait être apprécié par toute la population.
Inclusion sociale;045 - Centre d'éveil avec activités Parents-Enfants;0;6;"Centre Montjoie - Activités Parents-Enfants et Familiales.

- Répondre aux problématiques que rencontrent les Familles Monoparentales
- Resserrer les liens familiaux
- Favoriser les liens vers l'extérieur
- Gagner du temps pour plus de confort
- Se ressourcer
- Eveiller la créativité
- favoriser les liens intergénérationnels 

Montjoie serait un Centre d'activités familiales construit autour de la notion de joie. 
La joie profonde. Celle que l'on ressent lorsque nous contribuons à un certain progrès. Le Centre dans son fonctionnement répondrait à des manques et à des besoins qui se font ressentir principalement au sein des familles monoparentales et notamment d'un point de vue pratique et social  mais pas que !  Il concerne tous les modèles familiaux ! Nombreux sont les parents qui ne trouvent pas le temps de se détendre ou de participer à une activité régulière. Il faut faire garder les  enfants, aller les rechercher, se dépêcher... Et les bienfaits d'une démarche qui tend au départ vers le bien-être sont annulés. Pour vivre mieux et sereinement, il est important de revoir nos fonctionnements et de les adapter à notre mode de vie actuel.  De considérer les problèmes pratiques et émotionnels des modèles familiaux. Pratiquer chacun ses activités de son côté et ne pas envisager de pouvoir en partager davantage ensemble, petits et grands, est le reflet d'une société au caractère très individualiste et franchement vieillotte !  Participer à des activités (corps, bien être, Arts, danse, musique, écriture,... ) avec votre, vos enfant(s), petits enfants, bouger,  rire avec lui, avec eux et avec les autres, partager plus en sortant de nos 4 murs sont des démarches qui entraînent la joie, qui favorisent les rencontres, qui créent des liens et qui renforcent la sensation de vie. C'est dans ce sens que le centre ""Montjoie"" veut exister !  Pour pouvoir réaliser ce projet, nous avons besoin d'un lieu adéquat, lumineux, assez grand, avec des facilités de parking et un bel espace extérieur (le bâtiment qui abritait l'ancien QG de la RTBF semble être un emplacement idéal), des financements nécessaires à la réalisation de l'aménagement intérieur et des frais de fonctionnements pour les trois premiers mois. La Ville de Liège peut directement nous aider. Et offrir aux citoyens un véritable lieu de détente et d'échanges actifs.  C'est un projet qui a du sens ! Celui qui renforce les liens familiaux, qui favorise les liens vers l'extérieur, qui éveille les esprits et redonne une place primordiale à la considération humaine ! Celui qui accorde une importance à  la qualité de vie et au sens du partage ! A travers des activités de qualité, proposées par des professionnels et des animateurs expérimentés."
Art, Culture, Patrimoine, Tourisme;048 - Créer une oeuvre monumentale quai Saint-Léonard;49;11;"La plus grande oeuvre d'art du monde 

Les immeubles alignés de Saint-Léonard forment la plus belle toile qui puisse se rêver pour une œuvre d'art... Imaginez toutes les façades du quai unies dans une gigantesque fresque composée d'une mosaïque de fenêtres, de balcons et de pans de murs colorés : les Chinois nous l'envieraient ;-)
Pas besoin de rendre les fenêtres opaques, les nouvelles techniques permettent d'y créer des effets colorés extérieurs tout en préservant la transparence. Quelle plus value pour les immeubles, les appartements, et la qualité esthétique du quai !"
Des espaces verts, des espaces collectifs, des espaces apaisés;129 - Jardin, Liège à pieds nus;35;14;"Jardin ludique pieds nus

Aller au jardin pied nu. Jardin publique, chien non admis.
Un espace vert au serait créé un chemin sensoriel. plusieurs surface avec des matériaux différents (noyaux de fruits, capsule de bouteilles, bois, écorce, gravillons, terre, ...) Un chemin de quelques centaines de mettre qui passe entre les buissons, sous des saules pleureurs.
A la fin du parcours, prévoir un sèche pied (transat au soleil)
Ce parcours pieds nus peut être agrémenté de panneaux relatant  un pan de l'histoire liégeoise. 

Je pense que c'est encore un espace vert, certes, mais ludique, qui attire les familles pour la journée sur Liège. Qui invite aussi les riverains à venir. Ça change du module de jeu conventionnel.  C'est une curiosité. 

Ce qu'il faudrait mettre en place, est un parcours entre 300 et 600 m de maximum 90 cm de large, qui fait un circuit prédéterminé en passant par différentes textures. prévoir quelques nouvelles plantations. des transats et des sèches-pied."
La mobilité;131 - Résoudre les problèmes de stationnement rue Wazon;44;8;"Résoudre les problèmes de stationnement dans la rue Wazon et alentour en créant des places riverains

Coincé entre l'hypercentre relié par la rue Saint Gilles, les nombreuses écoles (HEC, Haute-école de Liège, etc.), les gares de Jonfosse et Guillemins, sans compter les nombreux koteurs, la rue Wazon et les rues alentours sont prises d'assaut tous les jours par les travailleurs et étudiants qui y stationnent.

A certaines heures il est tout simplement plus possible de trouver une place ... sans faire d'infraction (stationnement hors des zones autorisées, stationnement sur les passages piétons, etc.).

Le problème avait commencé à être pris en charge par la Ville qui à créée des zones de stationnements. Les personnes stationnaient déjà dans ces zones au risque de prendre un PV. Désormais qu'il y est autorisé de stationner, cela à créée un appel et de plus en plus de voitures se garent dans la rue Wazon et les rues alentours.

La solution serait de réserver ces zones de stationnement pour les riverains. Ou pourquoi pas réfléchir à un système alternatif, ces places réservées aux riverains sauf entre entre 8h et 17h par exemple."
Des espaces verts, des espaces collectifs, des espaces apaisés;135 - Améliorer le sentiment de sécurité rue Chevaufosse;23;3;"La rue Chevaufosse est une rue qui souffre d'un manque de ""sécurité"" en soirée.

En effet, elle est sombre, peu habitée et fréquentée, accueil un abri de nuit et probablement plusieurs dealer habitent dans les alentours par conséquent elle draine des personnes qui n'ont pas toujours de bonnes intentions.

Régulièrement (plusieurs fois par mois!) au petit matin on retrouve des véhicules avec des fenêtres bisées, des rétroviseurs arrachés ou volés, des griffes dans les portières, etc. sans parler des nombreux dépôts clandestins par dessus de la clôture des chemins de fer.

Alors pour ne plus retrouver son véhicule vandalisé et volé plusieurs fois par an il faudrait aménager cette rue : 
- un éclairage très intense
- des caméras de sécurité
- une clôture plus haute et résistante
- etc."
Des espaces verts, des espaces collectifs, des espaces apaisés;140 - Des terrasses dans les parcs et en bord de Meuse;118;4;"Des terrasses  dans les parcs et en bord de Meuse

On trouve des parcs magnifiques à Liège mais quasiment nulle part on ne peut  s'asseoir sur une terrasse pour s'y désaltérer (La Boverie/Botanique/La Chartreuse/Saint-Léonard,...).  Idem en bord de Meuse.  Très rare d'y trouver des terrasses et restaurants  alors que la Meuse passe en plein centre de la ville.   Il suffirait de demander à quelques cafetiers du centre d'installer une infrastructure temporaire en été  sous forme de kioske mobile. Ceci amènerait encore plus de convivialité dans le centre et les parcs en particulier, développerait le tourisme et diminuerait le sentiment d'insécurité de certains parcs. Avec fermeture à 22h bien sûr."
Des espaces verts, des espaces collectifs, des espaces apaisés;142 - Illuminer le sommet de la Tour Kennedy;22;13;"Le soir venu, les bords de Meuse sont magnifiques avec les ponts éclairés de différentes couleurs.  Les flancs des grandes tours qui trônent sur les rives du fleuve devraient être illuminés comme dans les grandes villes en général et surtout leurs sommets, comme à New-York ! Ceci donnerait du relief à la ville et atténuerait l'austérité des ces grands immeubles  la nuit venue. Le sommet de la Tour Kennedy est assez imposant et s'y prêterait déjà très bien. D'autres aussi.
Pas difficile à mettre en oeuvre et économique avec des leds.
Sentiment de sécurité accru la nuit.
Meilleure image de la ville le soir.
En accord avec le projet de Liège, ville-lumière.
A réaliser en harmonie de couleur avec les ponts."
